age,gender,race,highest_grade,tertiary_edu,province_current,province_moved,province_before,province_during
35.0,Man,African/Black,Grade 12,No,KwaZulu-Natal,No,,
35.0,Woman,African/Black,Grade 11,Yes,KwaZulu-Natal,No,,
49.0,Woman,White,Grade 9,No,Gauteng,No,,
37.0,Woman,African/Black,Grade 12,No,Gauteng,Yes,KwaZulu-Natal,KwaZulu-Natal
43.0,Man,African/Black,Grade 12,No,Gauteng,No,,
42.0,Man,African/Black,Grade 11,No,Limpopo,Yes,Gauteng,Limpopo
39.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
50.0,Man,Coloured,Grade 11,No,Western Cape,No,,
39.0,Man,African/Black,Grade 12,Yes,Mpumalanga,No,,
43.0,Woman,African/Black,Grade 12,No,North West,No,,
30.0,Man,African/Black,Grade 10,No,North West,No,,
34.0,Woman,African/Black,Grade 11,Yes,North West,No,,
39.0,Man,African/Black,Grade 12,No,Limpopo,No,,
50.0,Woman,White,Grade 12,Yes,Eastern Cape,No,,
46.0,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
36.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
,Woman,African/Black,None,,Limpopo,No,,
,Woman,African/Black,Grade 8,,Limpopo,No,,
,Woman,African/Black,,,Limpopo,No,,
30.0,Man,African/Black,Grade 10,No,Limpopo,No,,
38.0,Woman,African/Black,Grade 11,Yes,Limpopo,Yes,Gauteng,Limpopo
32.0,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
30.0,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
40.0,Woman,African/Black,Grade 11,No,Mpumalanga,No,,
38.0,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
52.0,Woman,African/Black,None,,Mpumalanga,No,,
51.0,Man,African/Black,Grade 12,No,Mpumalanga,No,,
32.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
32.0,Woman,African/Black,Grade 11,Yes,Gauteng,No,,
31.0,Woman,African/Black,Grade 10,Yes,Mpumalanga,Yes,Mpumalanga,Mpumalanga
,,African/Black,None,,,,,
34.0,Woman,African/Black,Grade 11,Yes,Limpopo,No,,
30.0,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
45.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
58.0,Woman,African/Black,Grade 7,,Mpumalanga,No,,
33.0,Woman,African/Black,Grade 11,Yes,Mpumalanga,No,,
,Woman,African/Black,Grade 4,,Mpumalanga,No,,
55.0,Man,African/Black,Grade 11,No,Mpumalanga,No,,
29.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
50.0,Woman,African/Black,Grade 12,No,Mpumalanga,No,,
50.0,Woman,African/Black,Grade 10,No,Mpumalanga,No,,
42.0,Man,African/Black,Grade 10,No,Mpumalanga,No,,
32.0,Man,African/Black,Grade 11,No,Mpumalanga,No,,
,Man,African/Black,Grade 12,Yes,Mpumalanga,No,,
57.0,Man,African/Black,None,,Mpumalanga,No,,
51.0,Woman,African/Black,Grade 10,No,Mpumalanga,No,,
34.0,Man,African/Black,Grade 12,No,Limpopo,No,,
31.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
34.0,Woman,African/Black,Grade 11,No,Limpopo,Yes,Gauteng,Limpopo
29.0,Man,African/Black,Grade 10,No,Limpopo,No,,
50.0,Woman,African/Black,Grade 9,Yes,Limpopo,No,,
41.0,Man,African/Black,Grade 11,No,Limpopo,No,,
72.0,Man,African/Black,Grade 7,,Limpopo,No,,
28.0,Man,African/Black,Grade 12,Yes,Gauteng,No,,
46.0,Man,African/Black,Grade 7,,Limpopo,No,,
32.0,Woman,African/Black,Grade 6,,Limpopo,Yes,Limpopo,Limpopo
42.0,Woman,African/Black,Grade 11,Yes,Limpopo,No,,
79.0,Man,African/Black,None,,Limpopo,No,,
,Woman,African/Black,None,,Limpopo,No,,
41.0,Woman,African/Black,Grade 11,Yes,Limpopo,No,,
37.0,Woman,African/Black,Grade 12,Yes,Gauteng,Yes,Limpopo,Limpopo
55.0,Woman,African/Black,Grade 7,,Limpopo,No,,
,Woman,African/Black,None,,Limpopo,No,,
,Woman,African/Black,None,,Limpopo,No,,
40.0,Woman,African/Black,Grade 12,No,Limpopo,Yes,Gauteng,Limpopo
30.0,Man,African/Black,Grade 12,No,Limpopo,No,,
29.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
33.0,Woman,African/Black,Grade 9,No,Gauteng,No,,
65.0,Man,White,Grade 12,Yes,Western Cape,No,,
35.0,Man,African/Black,Grade 12,No,Gauteng,No,,
39.0,Woman,African/Black,Grade 10,No,Gauteng,No,,
30.0,Woman,Coloured,Grade 11,Yes,Northern Cape,No,,
56.0,Man,Coloured,Grade 8,,Gauteng,No,,
28.0,Man,Coloured,Grade 12,Yes,Western Cape,No,,
41.0,Man,African/Black,Grade 11,No,Gauteng,No,,
35.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
45.0,Woman,African/Black,Grade 9,No,Free State,No,,
52.0,Woman,African/Black,Grade 5,,Free State,No,,
33.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
62.0,Woman,African/Black,Grade 4,,Gauteng,No,,
32.0,Man,African/Black,Grade 11,No,Gauteng,No,,
33.0,Man,African/Black,Grade 12,No,Gauteng,No,,
40.0,Man,African/Black,Grade 12,No,Gauteng,No,,
49.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
29.0,Woman,African/Black,Grade 12,Yes,Eastern Cape,No,,
38.0,Woman,African/Black,Grade 11,No,Mpumalanga,No,,
70.0,Woman,African/Black,Grade 9,No,Mpumalanga,No,,
52.0,Woman,African/Black,Grade 7,,Mpumalanga,No,,
53.0,Man,African/Black,Grade 12,Yes,Mpumalanga,No,,
27.0,Man,African/Black,Grade 9,No,Limpopo,No,,
46.0,Man,African/Black,Grade 12,Yes,Limpopo,No,,
,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
27.0,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
50.0,Woman,African/Black,Grade 11,No,Limpopo,No,,
30.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
33.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
39.0,Woman,African/Black,Grade 10,No,Limpopo,No,,
,Woman,African/Black,None,,Limpopo,No,,
38.0,Man,African/Black,Grade 12,No,Gauteng,No,,
,Woman,African/Black,,,Mpumalanga,No,,
35.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
42.0,Woman,African/Black,Grade 12,Yes,Limpopo,No,,
42.0,Man,African/Black,Grade 10,No,Mpumalanga,No,,
61.0,Man,African/Black,Grade 12,Yes,Mpumalanga,No,,
61.0,Man,African/Black,Grade 12,No,Mpumalanga,No,,
29.0,Woman,African/Black,Grade 11,No,Mpumalanga,No,,
47.0,Man,African/Black,Grade 12,No,Eastern Cape,No,,
51.0,Man,African/Black,NCV 4,No,Mpumalanga,No,,
35.0,Man,African/Black,Grade 12,Yes,Mpumalanga,No,,
44.0,Man,African/Black,Grade 7,,Limpopo,No,,
44.0,Man,African/Black,Grade 12,No,Free State,No,,
46.0,Man,African/Black,Grade 12,No,Mpumalanga,No,,
29.0,Man,African/Black,Grade 12,Yes,Western Cape,No,,
36.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
26.0,Woman,Coloured,Grade 9,No,Western Cape,No,,
63.0,Man,African/Black,None,,North West,No,,
23.0,Man,African/Black,Grade 2,,North West,No,,
41.0,Man,African/Black,Grade 12,Yes,North West,No,,
57.0,Man,African/Black,Grade 7,,North West,No,,
45.0,Woman,African/Black,Grade 11,Yes,Gauteng,No,,
34.0,Woman,African/Black,Grade 12,No,Gauteng,No,,
31.0,Man,African/Black,Grade 11,No,Gauteng,No,,
38.0,Man,African/Black,Grade 12,Yes,North West,No,,
43.0,Man,African/Black,Grade 11,No,Eastern Cape,No,,
32.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
60.0,Man,African/Black,Grade 8,,Gauteng,No,,
55.0,Man,African/Black,Grade 3,,North West,No,,
33.0,Man,African/Black,Grade 11,No,Gauteng,No,,
34.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
43.0,Woman,African/Black,Grade 12,Yes,Gauteng,No,,
42.0,Woman,African/Black,Grade 10,No,North West,No,,
41.0,Woman,African/Black,Grade 12,Yes,Mpumalanga,No,,
87.0,Woman,African/Black,None,,Mpumalanga,No,,
50.0,Man,African/Black,Grade 6,,Mpumalanga,No,,
,Woman,African/Black,Grade 5,,Mpumalanga,No,,
30.0,Man,African/Black,Grade 9,Yes,Mpumalanga,No,,
53.0,Man,African/Black,Grade 6,,Northern Cape,No,,
43.0,Man,African/Black,Grade 12,No,North West,Yes,Northern Cape,Northern Cape
47.0,Woman,African/Black,Grade 11,No,Gauteng,No,,
34.0,Man,African/Black,Grade 8,,Northern Cape,No,,
49.0,Woman,African/Black,Grade 6,,North West,No,,
34.0,Man,African/Black,Grade 12,Yes,Limpopo,No,,
50.0,Man,African/Black,Grade 12,Yes,Limpopo,No,,
36.0,Man,African/Black,Grade 12,No,Limpopo,No,,
40.0,Woman,African/Black,Grade 12,No,Limpopo,No,,
32.0,Man,African/Black,Grade 12,Yes,North West,No,,
82.0,Woman,Coloured,Grade 8,,KwaZulu-Natal,No,,
44.0,Woman,African/Black,Grade 4,,KwaZulu-Natal,No,,
73.0,Woman,Asian/Indian,Grade 6,,KwaZulu-Natal,No,,
48.0,Man,African/Black,,,KwaZulu-Natal,No,,
36.0,Woman,African/Black,NCV 4,Yes,Western Cape,No,,
31.0,Woman,African/Black,Grade 12,Yes,Eastern Cape,No,,
,Man,African/Black,Grade 9,No,,No,,
